07/18/2016 12:32:50:914,4.768372E-07,0,0,0,-3.415094E-06,0,Head
07/18/2016 12:32:51:239,-0.01421165,1.548122,0.2457266,18.0366,0.1712681,14.65234,Head
07/18/2016 12:32:51:301,-0.2037418,2.325293,0.5782914,27.714,2.638193,24.08444,Head
07/18/2016 12:32:51:353,-0.2842758,2.534344,0.6992683,30.45549,3.781707,27.17887,Head
07/18/2016 12:32:51:403,-0.3102005,2.594129,0.7368708,31.25353,4.161716,28.12859,Head
07/18/2016 12:32:51:469,-0.3180611,2.611646,0.7481604,31.48863,4.27807,28.41305,Head
07/18/2016 12:32:51:519,-0.3043065,2.602741,0.7416978,31.36903,4.08752,28.26808,Head
07/18/2016 12:32:51:583,-0.2844217,2.589998,0.732563,31.19818,3.813081,28.06193,Head
07/18/2016 12:32:51:637,-0.1950285,2.523159,0.6877346,30.30692,2.58952,27.00469,Head
07/18/2016 12:32:51:684,0.03728008,2.334922,0.5788293,27.83873,359.5169,24.22008,Head
07/18/2016 12:32:51:751,0.2983711,2.096788,0.4707108,24.79403,356.231,21.02919,Head
07/18/2016 12:32:51:801,0.4961407,1.899779,0.4016647,22.33094,353.8419,18.60777,Head
07/18/2016 12:32:51:851,0.624253,1.762819,0.3628912,20.64421,352.3329,17.018,Head
07/18/2016 12:32:51:919,0.7224282,1.652827,0.3367109,19.3031,351.1938,15.78844,Head
07/18/2016 12:32:51:969,0.8013285,1.573357,0.322135,18.34098,350.2795,14.92329,Head
07/18/2016 12:32:52:19,0.9124535,1.470777,0.3091316,17.1069,348.9925,13.83247,Head
07/18/2016 12:32:52:84,1.100768,1.333694,0.3085642,15.4703,346.7954,12.41541,Head
07/18/2016 12:32:52:136,1.419598,1.145973,0.3447356,13.24967,343.0412,10.53944,Head
07/18/2016 12:32:52:184,1.675792,1.01413,0.3996453,11.70226,339.9846,9.259367,Head
07/18/2016 12:32:52:252,1.780395,0.9703702,0.4295979,11.19064,338.7166,8.840413,Head
07/18/2016 12:32:52:302,1.811208,0.9573802,0.4389744,11.03893,338.3417,8.716569,Head
07/18/2016 12:32:52:353,1.82032,0.9535288,0.4417963,10.99397,338.2307,8.679897,Head
07/18/2016 12:32:52:420,1.899645,0.9523875,0.4740405,10.98065,337.2311,8.669032,Head
07/18/2016 12:32:52:470,2.314894,0.9858251,0.6791878,11.37122,331.8196,8.988061,Head
07/18/2016 12:32:52:519,2.879324,1.111573,1.066312,12.84502,323.7972,10.20272,Head
07/18/2016 12:32:52:585,3.388053,1.400391,1.599999,16.26487,315.1009,13.09942,Head
07/18/2016 12:32:52:636,3.647507,1.696062,2.030307,19.82889,309.1515,16.26709,Head
07/18/2016 12:32:52:684,3.707219,1.965236,2.280739,23.14425,306.2602,19.39334,Head
07/18/2016 12:32:52:752,3.612167,2.318728,2.435676,27.62906,305.3715,23.99232,Head
07/18/2016 12:32:52:802,3.444139,2.597408,2.471883,31.29749,306.28,28.18162,Head
07/18/2016 12:32:52:867,3.341434,2.72822,2.471831,33.06868,307.1116,30.38437,Head
07/18/2016 12:32:52:919,3.307816,2.76812,2.470994,33.616,307.3999,31.09317,Head
07/18/2016 12:32:52:970,3.297752,2.779837,2.470703,33.77737,307.4874,31.30491,Head
07/18/2016 12:32:53:35,3.289974,2.788183,2.469762,33.89252,307.563,31.45676,Head
07/18/2016 12:32:53:85,2.965687,3.021531,2.340102,37.17894,311.8886,36.09951,Head
07/18/2016 12:32:53:136,1.895114,3.51887,1.995653,44.73058,327.7567,50.31347,Head
07/18/2016 12:32:53:203,0.8292407,3.785346,1.840329,49.20649,345.2946,64.17941,Head
07/18/2016 12:32:53:253,0.2757552,3.853434,1.825884,50.4156,355.0349,69.97379,Head
07/18/2016 12:32:53:303,-0.02493304,3.846766,1.805979,50.29585,0.4472514,69.31676,Head
07/18/2016 12:32:53:368,-0.3135372,3.717937,1.671541,48.03792,5.381324,59.75691,Head
07/18/2016 12:32:53:419,-0.4101973,3.465214,1.418934,43.87146,6.534529,48.31452,Head
07/18/2016 12:32:53:470,-0.285589,3.011988,1.01925,37.0418,4.103511,35.89247,Head
07/18/2016 12:32:53:536,-0.0410738,2.391062,0.6089706,28.56871,0.5359322,25.02327,Head
07/18/2016 12:32:53:586,0.1865723,2.00823,0.4248276,23.68112,357.6648,19.91925,Head
07/18/2016 12:32:53:635,0.458704,1.781155,0.3505831,20.86891,354.3655,17.22688,Head
07/18/2016 12:32:53:705,1.164026,1.494082,0.3726072,17.38653,345.8802,14.07787,Head
07/18/2016 12:32:53:755,1.972685,1.239388,0.5759258,14.35196,335.968,11.46443,Head
07/18/2016 12:32:53:804,2.374112,1.121696,0.7449565,12.96402,330.8406,10.30159,Head
07/18/2016 12:32:53:869,2.506384,1.086608,0.8122411,12.55177,329.0994,9.959597,Head
07/18/2016 12:32:53:919,2.545156,1.076194,0.8329878,12.42954,328.584,9.858475,Head
07/18/2016 12:32:53:969,2.556605,1.073107,0.8392057,12.39331,328.4313,9.82853,Head
07/18/2016 12:32:54:36,2.847164,0.9945942,1.011962,11.47374,324.476,9.071991,Head
07/18/2016 12:32:54:86,3.666353,0.7196059,1.677346,8.274812,312.1846,6.486968,Head
07/18/2016 12:32:54:151,4.328896,0.463356,2.541144,5.317297,299.597,4.146106,Head
07/18/2016 12:32:54:201,4.567548,0.3446816,2.995329,3.952894,293.6964,3.077052,Head
07/18/2016 12:32:54:252,4.632099,0.3056364,3.142517,3.50452,291.8509,2.726814,Head
07/18/2016 12:32:54:319,4.650492,0.2906252,3.186586,3.332197,291.3028,2.592328,Head
07/18/2016 12:32:54:369,4.658727,0.2823579,3.206529,3.237305,291.0552,2.518298,Head
07/18/2016 12:32:54:419,4.662328,0.2726515,3.2144,3.125906,290.9561,2.431412,Head
07/18/2016 12:32:54:484,4.663387,0.2697751,3.216733,3.092897,290.9267,2.405671,Head
07/18/2016 12:32:54:536,4.656986,0.3387787,3.211784,3.885095,291.0061,3.024062,Head
07/18/2016 12:32:54:585,4.443853,0.9980971,2.936998,11.51471,294.9025,9.105548,Head
07/18/2016 12:32:54:653,3.952868,1.813022,2.532656,21.26023,301.972,17.59273,Head
07/18/2016 12:32:54:700,3.643693,2.167144,2.349154,25.68537,306.0365,21.9387,Head
07/18/2016 12:32:54:753,3.533159,2.275886,2.291285,27.07633,307.4758,23.39793,Head
07/18/2016 12:32:54:819,3.859631,1.695464,2.311385,19.82162,304.8611,16.26044,Head
07/18/2016 12:32:54:869,4.181555,0.6608367,2.339569,7.594854,302.4658,5.945308,Head
07/18/2016 12:32:54:919,4.235569,0.05927759,2.343603,0.6792871,302.0945,0.5277169,Head
07/18/2016 12:32:54:984,4.232624,-0.1569817,2.342885,358.2008,302.1194,358.6018,Head
07/18/2016 12:32:55:37,4.229487,-0.2209973,2.342444,357.4668,302.1428,358.0304,Head
07/18/2016 12:32:55:87,4.22836,-0.2399545,2.342294,357.2493,302.1512,357.8611,Head
07/18/2016 12:32:55:152,4.228008,-0.2455703,2.342248,357.1848,302.1537,357.8109,Head
07/18/2016 12:32:55:201,4.233369,-0.2334766,2.349702,357.3236,302.0486,357.9189,Head
07/18/2016 12:32:55:267,4.409687,0.0674609,2.644132,0.7730684,298.1133,0.6005833,Head
07/18/2016 12:32:55:319,4.600595,0.7320715,3.183795,8.419188,291.5429,6.602284,Head
07/18/2016 12:32:55:369,4.630988,1.122135,3.485154,12.96919,288.1135,10.30589,Head
07/18/2016 12:32:55:435,4.629535,1.246566,3.581029,14.43688,287.0405,11.53619,Head
07/18/2016 12:32:55:485,4.628008,1.28318,3.608958,14.87055,286.7292,11.90378,Head
07/18/2016 12:32:55:535,4.62746,1.294005,3.617189,14.99893,286.6376,12.01297,Head
07/18/2016 12:32:55:603,4.632967,1.290699,3.632625,14.95972,286.4435,11.97959,Head
07/18/2016 12:32:55:653,4.784811,0.9818116,3.931522,11.32432,282.588,8.949687,Head
07/18/2016 12:32:55:703,4.957304,0.325781,4.435183,3.735821,276.5001,2.907432,Head
07/18/2016 12:32:55:769,4.992937,-0.07258563,4.744421,359.1682,272.9303,359.3538,Head
07/18/2016 12:32:55:820,4.99355,-0.1960149,4.838614,357.7533,271.8511,358.2535,Head
07/18/2016 12:32:55:870,4.992793,-0.2325551,4.866072,357.3342,271.5366,357.9272,Head
07/18/2016 12:32:55:937,4.992596,-0.2433781,4.878523,357.21,271.3938,357.8304,Head
07/18/2016 12:32:55:986,4.999162,-0.06105257,5.068297,359.3004,269.2173,359.4565,Head
07/18/2016 12:32:56:51,4.903902,0.7311461,5.645891,8.408468,262.4968,6.593719,Head
07/18/2016 12:32:56:103,4.675781,1.46393,5.996983,17.02483,257.9635,13.76064,Head
07/18/2016 12:32:56:153,4.534921,1.794541,6.101871,21.03316,256.3432,17.38012,Head
07/18/2016 12:32:56:200,4.48123,1.908843,6.129117,22.44327,255.8578,18.7155,Head
07/18/2016 12:32:56:252,4.464997,1.942322,6.136307,22.85898,255.7218,19.11631,Head
07/18/2016 12:32:56:302,4.488004,1.861692,6.179801,21.85991,255.2714,18.15863,Head
07/18/2016 12:32:56:367,4.602055,1.473947,6.28397,17.14491,254.4109,13.86578,Head
07/18/2016 12:32:56:419,4.704771,1.058895,6.32056,12.22663,254.3214,9.690891,Head
07/18/2016 12:32:56:469,4.741848,0.8630853,6.330403,9.940015,254.3277,7.824323,Head
07/18/2016 12:32:56:535,4.752584,0.7978631,6.332809,9.182091,254.3344,7.213581,Head
07/18/2016 12:32:56:585,4.750043,0.7784931,6.35316,8.957316,254.0992,7.033129,Head
07/18/2016 12:32:56:637,4.739119,0.7727501,6.394135,8.8907,253.6074,6.979706,Head
07/18/2016 12:32:56:704,4.731616,0.7496333,6.431735,8.622677,253.1648,6.765014,Head
07/18/2016 12:32:56:754,4.736912,0.6274031,6.472427,7.208511,252.7326,5.638556,Head
07/18/2016 12:32:56:803,4.746762,0.4472241,6.50607,5.13167,252.3966,4.000333,Head
07/18/2016 12:32:56:868,4.825246,0.1878573,6.296809,2.153193,254.957,1.673672,Head
07/18/2016 12:32:56:919,4.970058,-0.01246798,5.546239,359.8571,263.728,359.889,Head
07/18/2016 12:32:56:970,4.988664,-0.09097994,4.676032,358.9574,273.7156,359.19,Head
07/18/2016 12:32:57:36,4.917987,-0.08246927,4.101885,359.0549,280.3492,359.2658,Head
07/18/2016 12:32:57:87,4.883582,-0.07535402,3.929976,359.1365,282.3586,359.3292,Head
07/18/2016 12:32:57:151,4.872231,-0.07324574,3.87928,359.1606,282.954,359.3479,Head
07/18/2016 12:32:57:204,4.868764,-0.07262104,3.864282,359.1678,283.1304,359.3535,Head
07/18/2016 12:32:57:254,4.823702,-0.07243595,3.685976,359.1699,285.2382,359.3551,Head
07/18/2016 12:32:57:319,4.603449,0.03213695,3.048788,0.3682649,292.9701,0.2860811,Head
07/18/2016 12:32:57:369,4.383871,0.1878666,2.602837,2.1533,298.6705,1.673755,Head
07/18/2016 12:32:57:419,4.298096,0.2519242,2.457773,2.888061,300.6034,2.245984,Head
07/18/2016 12:32:57:483,4.266803,0.2743297,2.407868,3.145166,301.2792,2.446432,Head
07/18/2016 12:32:57:536,4.247233,0.2847855,2.377043,3.265169,301.6982,2.540034,Head
07/18/2016 12:32:57:586,4.228063,0.2878831,2.346584,3.300723,302.1113,2.567771,Head
07/18/2016 12:32:57:652,4.192925,0.2922374,2.291868,3.350704,302.8577,2.606768,Head
07/18/2016 12:32:57:700,4.148251,0.361442,2.232081,4.145436,303.7132,3.2276,Head
07/18/2016 12:32:57:752,4.115009,0.4447517,2.194845,5.103225,304.2818,3.978004,Head
07/18/2016 12:32:57:820,4.089226,0.5775495,2.18137,6.633035,304.5778,5.18289,Head
07/18/2016 12:32:57:870,4.031579,0.8944196,2.181065,10.30476,304.9618,8.119546,Head
07/18/2016 12:32:57:920,3.968014,1.225002,2.215358,14.18187,305.0601,11.32093,Head
07/18/2016 12:32:57:984,3.936781,1.473459,2.292478,17.13906,304.5183,13.86065,Head
07/18/2016 12:32:58:37,3.929019,1.613577,2.361975,18.82723,303.8782,15.35884,Head
07/18/2016 12:32:58:87,3.956269,1.697628,2.457167,19.84797,302.7303,16.28455,Head
07/18/2016 12:32:58:152,4.044084,1.76495,2.648332,20.67031,300.1784,17.04222,Head
07/18/2016 12:32:58:203,4.145162,1.805578,2.865164,21.16872,297.2493,17.50694,Head
07/18/2016 12:32:58:252,4.258227,1.822327,3.11675,21.37468,293.858,17.70024,Head
07/18/2016 12:32:58:320,4.41965,1.779256,3.483114,20.84562,288.943,17.20519,Head
07/18/2016 12:32:58:370,4.546296,1.716964,3.82389,20.08372,284.5042,16.50063,Head
07/18/2016 12:32:58:435,4.651726,1.63454,4.169499,19.08122,280.1227,15.58771,Head
07/18/2016 12:32:58:485,4.729878,1.522792,4.44381,17.7316,276.7067,14.38211,Head
07/18/2016 12:32:58:536,4.783409,1.416061,4.662701,16.45202,274.0335,13.2616,Head
07/18/2016 12:32:58:603,4.828382,1.29597,4.915238,15.02225,271.0057,12.03282,Head
07/18/2016 12:32:58:653,4.856281,1.179649,5.158014,13.64644,268.1364,10.87106,Head
07/18/2016 12:32:58:704,4.863971,1.117817,5.30377,12.91841,266.4264,10.26368,Head
07/18/2016 12:32:58:771,4.852579,1.118178,5.449629,12.92266,264.7062,10.26721,Head
07/18/2016 12:32:58:821,4.8203,1.194063,5.582177,13.81647,263.1134,11.01363,Head
07/18/2016 12:32:58:871,4.793755,1.264436,5.648944,14.64842,262.2906,11.71525,Head
07/18/2016 12:32:58:936,4.765561,1.355562,5.672221,15.73047,261.9709,12.63859,Head
07/18/2016 12:32:58:987,4.736861,1.458854,5.65871,16.964,262.0832,13.70745,Head
07/18/2016 12:32:59:37,4.705431,1.569368,5.629298,18.29282,262.3825,14.88034,Head
07/18/2016 12:32:59:103,4.661911,1.760827,5.407534,20.61982,265.0041,16.99538,Head
07/18/2016 12:32:59:155,4.618941,1.912455,5.088881,22.48806,268.8976,18.75852,Head
07/18/2016 12:32:59:203,4.586761,1.979936,4.796311,23.32756,272.5427,19.57224,Head
07/18/2016 12:32:59:268,4.552081,1.998135,4.465184,23.55486,276.7009,19.79502,Head
07/18/2016 12:32:59:320,4.517488,1.963791,4.142193,23.12623,280.7517,19.3758,Head
07/18/2016 12:32:59:370,4.419626,1.866794,3.592166,21.92292,287.6689,18.21846,Head
07/18/2016 12:32:59:437,4.081038,1.659295,2.635283,19.38165,300.0897,15.85967,Head
07/18/2016 12:32:59:487,3.610323,1.327543,1.805754,15.39717,311.5009,12.35282,Head
07/18/2016 12:32:59:551,2.9683,0.8395924,1.064992,9.666818,322.9716,7.603762,Head
07/18/2016 12:32:59:604,2.406548,0.4107413,0.6365356,4.712059,331.1223,3.671213,Head
07/18/2016 12:32:59:654,2.163071,0.2163812,0.4973001,2.480321,334.3407,1.928334,Head
07/18/2016 12:32:59:703,2.087704,0.1586703,0.4594812,1.818533,335.3073,1.413293,Head
07/18/2016 12:32:59:753,2.065102,0.1415637,0.4485922,1.622418,335.5949,1.260767,Head
07/18/2016 12:32:59:804,2.058382,0.1364946,0.445394,1.564307,335.6802,1.21558,Head
07/18/2016 12:32:59:867,1.938164,0.1212166,0.3925242,1.389176,337.1856,1.079417,Head
07/18/2016 12:32:59:920,1.556202,0.1013807,0.2494254,1.161817,341.8622,0.902685,Head
07/18/2016 12:32:59:970,1.301993,0.09550286,0.1734385,1.094449,344.9035,0.8503255,Head
07/18/2016 12:33:00:51,1.21559,0.09376123,0.1509228,1.074488,345.9268,0.8348122,Head
07/18/2016 12:33:00:104,1.189913,0.09324522,0.1445479,1.068573,346.2301,0.8302156,Head
07/18/2016 12:33:00:153,1.171178,0.08237472,0.1397982,0.9439874,346.4516,0.7333956,Head
07/18/2016 12:33:00:220,1.123031,0.05159115,0.1280251,0.5912016,347.0196,0.4592791,Head
07/18/2016 12:33:00:270,1.091289,0.03136678,0.1206446,0.3594391,347.393,0.2792247,Head
07/18/2016 12:33:00:337,1.081866,0.02384275,0.1185045,0.2732188,347.5038,0.2122443,Head
